,Id1,Id2,Type of Content
498,cinbengalsJB9,curtisxu,RT
499,cinbengalsJB9,Pi_sulaiman,RT
500,jayspartan20,MasterAtWorkinc,RT
502,Layne__w,FormerNFLFan789,RT
503,texaskid4life,MasterAtWorkinc,RT
506,floydianship,MasterAtWorkinc,RT
507,BornCincyFan,nflcommish,Mention
507,BornCincyFan,NFL,Mention
508,MasterAtWorkinc,MasterAtWorkinc,RT
509,PropMclaughlin_,Mikechanginvest,RT
510,THE_GRAYF0X,JoeGoodberry,Mention
510,THE_GRAYF0X,nfl,Mention
511,NoDiiscussiion,CoachOBrien,Mention
511,NoDiiscussiion,WokeThuney,Mention
511,NoDiiscussiion,NFL_DovKleiman,Mention
511,NoDiiscussiion,Real10jayy__,Mention
512,Pqranold,edits841,RT
514,WTFinSoCal,heyjacqui_,Mention
515,FormerNFLFan789,THE_GRAYF0X,RT
515,FormerNFLFan789,nfl,RT
515,FormerNFLFan789,NFLOfficiating,RT
515,FormerNFLFan789,nflcommish,RT
517,THE_GRAYF0X,nfl,Mention
517,THE_GRAYF0X,NFLOfficiating,Mention
517,THE_GRAYF0X,nflcommish,Mention
518,jackihillis22,DonCoop20,Mention
518,jackihillis22,PFTCommenter,Mention
518,jackihillis22,ArianFoster,Mention
520,KecksterFal,_willcompton,Mention
521,SkylerBertram1,VivaLaStool,RT
521,SkylerBertram1,ArianFoster,RT
521,SkylerBertram1,MacrodosingPod,RT
522,RicoMuscatel,NFLonFOX,Mention
522,RicoMuscatel,Chiefs,Mention
522,RicoMuscatel,Eagles,Mention
523,EspressoJose,tipico,Mention
524,thetadrivium,Throwback420,RT
525,thetadrivium,GetYoShinebox,RT
527,plingon11,Readitandweep2,Mention
529,Jan11555,taufikl,Mention
530,SpadedLord,midwest_fancy,RT
532,Dwheel_14,NFL,Mention
532,Dwheel_14,NFLonFOX,Mention
532,Dwheel_14,NFLFilms,Mention
532,Dwheel_14,Chiefs,Mention
532,Dwheel_14,Bengals,Mention
533,ubok1978,Kramed67037,Mention
533,ubok1978,GottliebShow,Mention
534,Viyapoo,WWERuthlessEra,RT
535,punkrockdub,GeneSteratore,Mention
